route,alpha,is_selection_quantile,raw_pinball,sorted_pinball
preopen,0.1,True,0.0401796201301672,0.040188786618663506
preopen,0.2,False,0.06723218136435231,0.0672138483873597
preopen,0.3,False,0.08471443422352028,0.08464562487879473
preopen,0.4,False,0.09733835023545012,0.09733141354704457
preopen,0.5,True,0.10099005177867693,0.10116158778279552
preopen,0.6,False,0.09731582618150754,0.09715246179882589
preopen,0.7,False,0.08863391750256712,0.08868170904631667
preopen,0.8,False,0.07092241596171604,0.07100863068678184
preopen,0.9,True,0.04148840894886348,0.041256997269413495
early,0.1,True,0.05176941374267806,0.051770862051237945
early,0.2,False,0.08645841016619624,0.08645110803620508
early,0.3,False,0.1083793733323736,0.10838343692231876
early,0.4,False,0.12271702366264718,0.122710405066492
early,0.5,True,0.12776667667996525,0.12767940395893684
early,0.6,False,0.12285529036308857,0.1227854775117443
early,0.7,False,0.10970991952272882,0.10983588954403835
early,0.8,False,0.08658977372054484,0.08649620407046295
early,0.9,True,0.054096226440168635,0.05410641113370128
late,0.1,True,0.024960622422081514,0.02500796900782792
late,0.2,False,0.04755783290071281,0.047544486249165435
late,0.3,False,0.0662416685573354,0.06623874843220783
late,0.4,False,0.07820082552935588,0.07811427575604414
late,0.5,True,0.08402862433039619,0.08387367589457276
late,0.6,False,0.08368187290378502,0.08361056258736371
late,0.7,False,0.07774844639693096,0.07773632312212586
late,0.8,False,0.06518778626886602,0.06507542727584832
late,0.9,True,0.0423096478618501,0.042282481837960545
