route,route_label,days,checkpoints,rows,q3_raw_pinball,q3_sorted_pinball,all9_raw_pinball,all9_sorted_pinball,p50_mae_amp_pct_points,p10_p90_coverage,quantile_crossing_row_rate
preopen,盘前,134,1,134,0.06088602695256921,0.060869123890290845,0.07653502292520234,0.07651567333511064,0.6553337379380135,0.8059701492537313,0.1044776119402985
early,开盘首小时,134,12,1608,0.07787743895427064,0.07785222571462536,0.09670467862559902,0.09669102203279306,0.5384671556956746,0.7898009950248757,0.07027363184079602
late,首小时后,134,35,4690,0.0504329648714426,0.05038804224678708,0.06332414746347932,0.0632759944625685,0.25691406971431574,0.8281449893390191,0.3095948827292111
